ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
156,f,68.6,171,90,14.16,2.47,11.69,1.52,3.02,4.54,3.79,8.33,12.08,,6.455,,34.07,0.94,1920
157,f,64,165,88,14.41,2.28,12.13,,,4.83,4.3,9.13,10.7,,6.2,,24.57,1.15,2350
158,f,84.4,176.6,91.5,15.21,3.33,11.88,,,4.56,3.88,8.44,14.65,17.73,7.38,,42.5,1.66,
159,f,79.8,170,89.3,14.9,2.85,12.05,,,4.31,3.7,8.01,14,13.94,7.035,,33.7,1.52,
160,f,74,172.8,91.4,17.6,4.4,13.19,1.89,2.53,4.54,3.87,8.41,,,8.025,13.48,38.9,1.52,2500
161,f,61.7,173.5,90.5,15.48,3.25,12.24,1.76,2.57,4.39,3.72,8.11,13.3,15.58,7.325,,41.1,1.54,2650
162,f,62.7,179.1,95.2,15.83,3.91,11.92,1.93,2.77,4.71,4.06,8.78,12.3,13.55,7.89,13.37,32.6,1.48,2240
163,f,75.7,164.5,89,14.67,2.54,12.13,1.97,2.64,4.65,3.97,8.6,11.16,11.93,7.65,13.27,34.7,1.46,2530
164,f,58.3,160.8,86.4,13.95,1.79,12.17,1.94,2.63,4.63,3.84,8.45,12.22,12.54,7.50,12.55,37.8,1.28,2550
165,f,58.3,170.7,85.8,14.12,2.15,11.97,1.91,2.68,4.61,3.86,8.48,11.17,11.67,7.55,13.42,37.1,1.37,2710
166,f,81.8,181.2,93.9,13.94,2.93,11.01,1.92,2.67,4.59,3.75,8.34,12.86,12.13,7.35,13.35,29.9,1.54,2300
167,f,51.5,175.4,88.1,14.68,2.69,11.99,1.96,2.59,4.55,3.72,8.27,11.79,12.78,7.75,13.66,36.7,1.98,2510
168,f,60.2,177.7,93.2,14.78,3.14,11.64,1.85,2.73,4.58,3.8,8.38,12.44,12.48,8.43,13.67,34.3,1.58,2740
169,f,74,178,97,16.44,4.31,12.13,,,,,,13.65,16.25,,,35.5,1.28,2500
170,f,73,174,94,16.37,3.96,12.41,1.8,2.66,4.46,3.89,8.35,14.25,16.1,,14.6,43.9,1.69,2500
171,f,78.4,172,93,16.27,3.79,12.48,1.93,2.8,4.73,4.04,8.77,12.45,14.7,7.375,12.7,36.5,1.09,2350
172,f,62.7,170,88,14.87,2.67,12.2,1.84,2.8,4.64,4.19,8.83,11.3,11.8,7.2,12,30.5,1.45,2390
173,f,69.3,170.5,89,15.66,3.18,12.48,1.91,2.93,4.84,4.34,9.18,11.8,12.35,7.525,12.9,28.6,1.18,
174,f,52,163,87,14.41,2.07,12.35,1.89,2.62,4.51,3.78,8.33,10.45,11.1,8.65,15.4,38.3,1.82,2720
175,f,63.5,171.5,92,15.79,3.43,12.36,1.77,2.6,4.37,3.73,8.1,12.35,12.95,7.975,14.2,39.4,1.55,2500
176,f,64.1,170.0,88.5,14.94,2.74,12.2,,,,,,12.75,12.25,6.81,,39.5,1.91,
177,f,64,171.5,94,14.68,2.93,11.75,1.97,2.81,4.78,4.13,8.91,12.15,12.05,6.925,13.4,34.2,1.19,2500
178,f,64.5,169.0,91.5,14.69,2.73,11.96,1.9,2.83,4.73,4.23,8.96,11.1,13.25,7.37,11.8,28.6,1.17,2400
179,f,49.9,166,87.5,14.19,2.05,12.14,1.76,2.46,4.22,3.59,7.81,11.2,10.40,8.70,14.95,42.4,1.77,2750
180,f,68.1,175.6,91.1,15.26,3.25,12.01,,,4.15,3.45,7.6,15.56,18.18,7.79,,47.9,1.46,
181,f,77.3,183.7,97.4,15.38,3.95,11.43,1.93,2.62,4.49,3.78,8.31,15.3,15.27,9.525,14.7,39.7,1.83,2360
182,f,59,173.5,88.6,16.41,3.64,12.77,1.94,2.87,4.81,4.2,9.01,10.78,12.34,,,,1.41,2690
183,f,59.2,171.5,92.5,15.7,3.39,12.3,1.83,2.63,4.46,3.87,8.33,12.25,13.97,,,,1.28,1970
184,f,68,173.3,91,13.83,2.41,11.42,2.01,2.98,4.99,4.38,9.37,10.08,10.18,,,,0.93,2370
185,f,50.7,160,85,15.38,2.36,13.02,1.98,3.09,5.07,4.78,9.85,8.82,10.4,7.775,13.2,28.6,1.25,2560
186,f,56,173.0,89,14.85,2.77,12.07,1.95,2.8,4.75,4.07,8.82,8.8,10.00,7.00,12.7,31.9,1.06,2200
187,f,70.4,168,92,15.42,3.14,12.28,1.95,2.98,4.93,4.65,9.58,9.12,10.38,6.325,10.9,29.2,0.66,2060
188,f,50,169.0,87,14.8,2.47,12.33,1.87,2.62,4.52,3.85,8.41,11.3,12.50,8.12,14.15,37.9,1.44,2260
189,f,66.1,170.9,89.2,16.44,3.6,12.83,,,,,8.77,15.9,17.6,6.595,,37.1,1.92,
190,f,61.2,171.4,89.3,14.95,2.82,12.13,,,4.17,3.52,7.69,13.9,14.36,6.915,,42,1.8,
191,f,58,166,89,15.17,2.72,12.45,1.8,2.72,4.52,3.94,8.46,13.2,14,7.965,14,33,2.06,2290
192,f,69,168,89,15,2.76,12.24,1.69,2.54,4.23,3.64,7.87,14.3,15.3,8.655,14.45,35,1.3,2340
193,f,84.5,182,93,15.12,3.53,11.59,1.94,2.76,4.7,4.02,8.72,14.28,15.84,,13.9,32,1.14,2020
194,f,65.4,173,93,14.66,2.93,11.73,1.86,2.7,4.56,3.87,8.43,12.84,12.38,8.095,14.4,28,1.44,2550
195,f,57,159,89,14.54,2.15,12.39,1.87,2.76,4.63,4.13,8.78,10.57,11.56,7.3,12.3,28,1.49,2440
196,f,61.7,168,92,15.43,3.11,12.33,1.91,2.93,4.84,4.3,9.16,10.04,10.08,7.35,13.1,20,0.9,2370
197,f,97,175.7,93.5,15.33,3.51,11.82,1.83,2.63,4.46,3.81,8.27,12.41,13.38,5.55,,36.7,1.08,2030
198,f,58.5,164,88,14.43,2.21,12.22,1.76,2.66,4.42,3.93,8.35,11.34,12.67,8.415,14.15,27,1.56,2525
199,f,57.9,175,88,14.37,2.53,11.83,1.9,2.73,4.63,3.87,8.5,11.7,12.57,8.435,15.1,37,1.55,2400
200,f,79.9,180,99,14.23,3.29,10.94,1.78,2.67,4.45,3.9,8.35,11.85,12.37,7.845,13.5,25,1.14,2200
201,f,61.9,178.0,92,13.96,2.64,11.33,1.85,2.73,4.58,3.96,8.54,10.55,12.30,8.26,13.91,36.5,1.4,2420
202,f,59.3,177,95,14.2,2.87,11.33,1.8,2.78,4.59,4.13,8.73,12.35,12.7,7.435,13.1,29,1.19,2580
203,f,57.3,170,88,14.18,2.26,11.92,1.8,2.68,4.49,3.82,8.31,10.89,10.55,8.645,14.98,40,1.65,2600
204,f,61.7,168,87,13.81,1.99,11.82,1.9,2.65,4.55,3.85,8.42,13.21,13.78,8.885,14.51,39,1.22,2500
205,f,53.9,157.0,84,13.88,1.47,12.41,1.99,3.32,5.31,4.86,10.17,8.35,7.95,6.33,11.48,31,1.53,2425
206,m,100,202.5,110,16.06,4.93,11.13,1.65,2.36,4.01,3.33,7.34,18.8,19.81,7.67,,54.7,1.72,2800
206,m,112.1,204,106,18.19,5.78,12.4,1.75,2.43,4.18,3.5,7.68,20.58,21.89,9.575,14.86,,,2410
207,m,97,185.5,98,16.22,3.39,12.82,1.75,2.55,4.3,3.68,7.98,16.3,17.1,7.11,,46.8,1.81,2450
207,m,99.1,186,97,17.33,3.89,13.44,1.82,2.47,4.29,3.59,7.88,17.69,17.51,7.85,,,,
208,m,89.1,180,100.5,16.32,3.74,12.58,1.58,2.27,3.87,3.09,6.87,18.86,18.57,9.89,16.74,56.6,2.04,2450
208,m,82.7,179.5,97.6,15.38,2.72,12.66,1.57,2.26,3.84,3.1,7.01,17.96,17.23,9.62,,55.2,1.84,2530
209,m,84.6,190,100,16.44,3.62,12.82,1.69,2.41,4.1,3.44,7.54,15.85,17.27,10.40,17.53,52.6,1.81,2980
209,m,73.1,186,97,15.5,2.56,12.94,1.55,2.32,3.87,3.38,7.25,14.75,15.95,8.35,,57.8,1.84,2880
210,m,100.6,192,102,16.67,4.22,12.44,1.7,2.49,4.19,3.52,7.71,16.57,18.06,9.25,16.72,45.3,1.76,2670
210,m,96.1,190,99.4,15.75,3.28,12.46,1.847,2.431,4.3,3.523,7.83,16.57,18.55,7.545,,48,1.74,2650
211,m,67,187,96,14.57,1.84,12.73,,,4.36,3.62,7.98,14,,,15.42,,1.91,2670
211,m,72.5,190,100,15.55,2.97,12.58,,,4.18,3.42,7.6,13.7,,,15.49,,1.68,2880
211,m,76.4,192.6,101,16.39,3.63,12.76,,,,,7.47,15.85,16.57,,,,1.52,2860
212,m,91.3,189.4,104.3,16.82,4.55,12.27,,,4.01,3.23,7.24,19.63,20.72,8.61,,60.2,1.64,2650
212,m,88.9,187.2,109,15.82,4.55,11.27,,,4.06,3.33,7.39,18.5,19.62,8.095,,50.2,1.82,
213,m,100.3,198.4,104.5,17.11,4.81,12.3,1.81,2.49,4.3,3.53,7.84,18.23,19.38,8.3,,46.5,1.26,2610
213,m,96.5,188,97,13.77,1.89,11.89,,,4.52,3.98,8.5,13,,,14.44,,0.89,1945
213,m,89.4,197.4,102.5,15.59,3.51,12.08,,,,,7.75,16.36,18.48,,,,1.27,2500
213,m,105.8,195,102,14.75,3.15,11.6,,,,,,12.52,,,,,1.09,2165
214,m,98.3,193,96,14.19,1.99,12.2,,,4.72,4,8.72,12.8,,,13,,0.82,1880
214,m,107.3,198,100,15.17,3.13,12.03,,,4.27,3.56,7.83,17.18,,,15.44,,1.25,2250
215,m,73.4,179,94,14.49,1.65,12.84,,,4.25,3.75,8,12.73,,,15.26,,1.69,2200
215,m,76.6,180.1,96.5,15.33,2.47,12.86,,,,,7.79,12.69,14.18,,,,1.54,2230
216,m,70.5,173,92,14.95,1.62,13.32,,,4.37,3.73,8.1,12.4,,,12.79,,1.82,2800
216,m,73.3,174.8,94,15.79,2.37,13.42,,,,3.63,,13.23,14.18,,,,1.45,2600
217,m,84.9,172,91,14.52,1.47,13.05,,,4.79,4.23,9.02,11.65,,,13,,1.12,2420
217,m,91.1,174.5,95,15.36,2.5,12.85,,,,,8.84,12.02,13.76,,,,1.12,2150
218,m,66.1,179,93,13.83,1.08,12.75,,,4.14,3.51,7.65,12.48,,,16.04,,1.78,2785
218,m,69.1,182.3,96,14.67,1.93,12.74,,,,,7.66,13.99,14.76,,,,1.62,2420
219,m,83.5,188,100,15.7,3.2,12.51,,,4.04,3.44,7.48,15.09,,,15.97,,1.77,2920
219,m,91.6,189.3,102,16.54,4.06,12.48,,,,,7.33,17.35,17.56,,,,1.63,2870
220,m,77.1,160,86,12.93,0.03,12.91,,,4.95,4.33,9.28,9.64,,,10.76,,0.58,2190
220,m,85.5,162.3,87,13.77,0.67,13.1,,,,,8.7,10.15,12.22,,,,0.83,1850
221,m,78.4,187.5,95,16.12,2.67,13.45,1.652,2.478,4.13,3.48,7.61,13.54,13.68,9.395,16.68,47,1.84,
221,m,80.5,185.8,96.5,14.6,2.09,12.51,,,,3.79,,12.66,13.38,,,,1.26,2400
222,m,77.6,181,95,14.94,2.06,12.88,,,4.2,3.61,7.81,14.3,,,15.51,,2.04,2325
222,m,83.2,182.4,98,15.78,2.99,12.79,,,,,7.93,14.43,16.25,,,,1.61,2170
223,m,90.5,184.5,98,15.33,2.82,12.51,1.62,2.53,4.18,3.7,7.91,16.01,18.2,9.775,16.62,55,1.29,2600
223,m,69.5,179.8,96,13.25,1.16,12.09,,,,3.99,,13.98,12.49,,,,0.76,2650
224,m,78.7,190,94,14.79,1.83,12.96,1.76,2.7,4.47,3.97,8.44,13.28,14.77,8.33,15.35,52.6,1.49,1970
224,m,93.8,196.0,102,15.75,3.59,12.16,1.7,2.52,4.24,3.66,7.9,15.95,17.51,9.74,16.96,54.5,1.6,2600
224,m,68,179,90,13.77,0.71,13.06,1.88,2.72,4.6,4.07,8.67,10.76,12,7.08,14.1,44,1.2,
225,m,77,177,93,18.79,3.86,14.93,1.59,2.28,3.87,3.15,7.03,15.85,18.82,10.30,17.37,50.4,2.14,2720
225,m,73.2,176,96,17.71,3.71,14,1.65,2.38,4.03,3.25,7.28,14.69,15.68,10.4,15.46,49.3,1.56,
226,m,71,180,99,16.09,3.17,12.92,1.85,2.48,4.34,3.43,7.77,13.94,15.91,9.42,15.19,47,1.98,2650
226,m,71.4,181,97,17.16,3.49,13.67,1.77,2.41,4.19,3.33,7.52,14.83,16.06,9.01,16.97,52.4,2.1,2700
227,m,67.4,182,96,16.39,2.86,13.53,1.61,2.36,3.98,3.46,7.44,12.76,13.08,8.845,14.98,52,1.64,2000
227,m,67,180,95,15.39,2.18,13.21,1.61,2.36,3.97,3.51,7.48,15.04,14.6,,,49.9,1.66,2250
228,m,102.2,189,99,15.27,3.04,12.23,1.7,2.69,4.39,3.99,8.38,15.78,16.59,8.18,13.86,44.6,1.23,2540
228,m,103,186,97,14.27,2.25,12.02,1.85,2.9,4.75,4.44,9.19,13.08,14.03,,,34.1,0.95,2260
229,m,83.4,179,95.5,15.36,2.44,12.92,1.66,2.29,3.97,3.32,7.31,17.05,18.31,10.22,17.76,51,1.55,2980
229,m,89.3,179.6,95.1,16.38,3.02,13.36,1.78,2.33,4.11,3.37,7.48,17.1,15.97,10.72,16.77,52.9,1.64,2820
230,m,76.4,186.2,94.7,14.89,1.96,12.93,1.82,2.46,4.29,3.62,7.91,14.75,18.16,9.135,16.33,50.8,1.93,2560
230,m,88.5,189.3,96,15.9,2.81,13.09,1.8,2.48,4.28,3.59,7.89,16.01,19.68,9.52,16.3,51.8,1.93,2600
231,m,74.3,180,94.9,14.4,1.72,12.68,1.74,2.44,4.19,3.47,7.66,14.18,14.33,9.2,14.4,47.3,1.66,2750
231,m,81.4,184.7,97.2,15.41,2.65,12.77,1.75,2.41,4.16,3.35,7.54,16.38,16.94,9.56,15.63,49.4,1.79,2620
232,m,67.6,173,91,14.27,1.11,13.17,1.7,2.44,4.14,3.47,7.61,13.4,13.05,9.4,15.3,50.4,1.73,2780
232,m,72.2,175,93,15.35,1.98,13.37,1.63,2.39,4.02,3.4,7.42,15,15.9,9.7,16,56.2,1.48,2775
233,m,79.5,184.5,99,14.38,2.27,12.11,1.67,2.39,4.06,3.39,7.45,14.1,16.3,9.9,17.6,56.5,2.05,2650
233,m,88,188,100,15.39,3.07,12.32,1.69,2.32,4.01,3.25,7.26,15.55,19.40,10.30,15.55,,,2700
234,m,83.1,182,95,14.34,1.8,12.53,1.79,2.66,4.45,3.97,8.42,14.4,13.5,8.05,14.8,40.1,0.98,2320
234,m,79.9,186,94,15.35,2.15,13.2,1.7,2.49,4.19,3.65,7.84,14.6,15.85,8.49,15.3,46.8,1.52,2600
235,m,85.6,183,100,14.47,2.53,11.94,1.66,2.41,4.07,3.37,7.44,14.75,15.3,9.235,15.4,45.6,1.2,2650
235,m,96.4,187,102,15.49,3.5,11.98,1.77,2.33,4.1,3.36,7.46,16.95,18.30,8.99,15.3,52.4,1.61,2700
236,m,77.2,185,96,16.31,2.92,13.39,1.66,2.24,3.92,3.12,7.04,17.02,16.96,10.39,16.91,55.7,2.1,2640
236,m,83,187,98,18.27,4.36,13.91,1.62,2.26,3.88,3.15,7.03,17,18.25,9.80,17.2,60.6,2.19,2650
236,m,71.2,183.7,94.6,15.28,2.1,13.18,1.66,2.29,3.95,3.29,7.25,15.73,15.69,,,,1.95,2440
237,m,96.9,182.1,95.9,15.29,2.61,12.68,1.54,2.17,3.71,3.04,6.75,15.82,16.88,,,,1.67,1800
237,m,107.5,184,97,16.32,3.45,12.87,1.73,2.21,3.94,3.13,7.07,16.14,18.08,8.615,,,,2220
238,m,77.9,195,98,15.55,2.74,12.81,1.88,2.65,4.53,3.88,8.43,14.55,15.71,9.2,15.64,40.7,1.35,2780
238,m,92.5,198,99,16.53,3.58,12.95,1.83,2.65,4.48,3.83,8.31,16.6,18.26,8.905,15.48,44.1,1.33,1600
238,m,68.6,189.4,96,14.52,1.82,12.69,1.95,2.76,4.71,4.04,8.75,10.79,12.23,,,,1.11,2450
239,m,67.2,183,96,16.36,2.83,13.52,1.79,2.46,4.26,3.5,7.76,14.09,14.78,9.275,16.23,47.4,2.2,2620
239,m,65.6,180.2,95,15.32,2.12,13.2,1.92,2.46,4.41,3.55,7.96,13.05,13.83,,,,1.65,2630
240,m,71.8,188,98,16.74,3.36,13.38,1.82,2.43,4.25,3.52,7.77,14.66,15.82,8.85,15.86,42.5,1.3,2830
240,m,71.2,186.1,94.8,15.71,2.35,13.36,1.9,2.45,4.39,3.54,7.93,14.51,17.61,,,,1.05,2470
241,m,67.3,183,95,14.92,1.92,13.01,1.9,2.55,4.45,3.61,8.06,11.6,11.95,8.3,14.17,34.8,1.15,2790
241,m,80,186,100,16.88,3.84,13.03,1.71,2.45,4.2,3.25,7.47,15.3,16.93,8.00,14.4,46.2,1.34,2600
242,m,86,183,99,14.94,2.68,12.26,1.78,2.42,4.2,3.34,7.54,16.9,17.2,9.48,15.8,44,1.9,2570
243,m,84,182,93,15.15,1.99,13.16,1.66,2.48,4.14,3.44,7.58,13.5,12.6,9.78,,43,1.81,
244,m,76.8,186.7,96.4,15.21,2.36,12.85,1.86,2.59,4.45,3.66,8.11,15.59,16.85,9.37,15.04,46.2,1.97,2620
245,m,72.7,185,96,13.97,1.59,12.38,1.67,2.48,4.15,3.55,7.7,15.24,15.07,,16,40,1.61,2700
246,m,75.6,189,95,14.71,1.88,12.83,1.68,2.38,4.06,3.42,7.48,13.5,14.60,8.89,15.82,47,1.69,2470
247,m,78.7,178,92,14.11,1.27,12.84,1.6,2.3,3.91,3.12,7.03,16.6,17.20,8.42,14.6,46.7,1.57,2430
248,m,87.3,185,95,14.99,2.19,12.8,1.7,2.38,4.08,3.4,7.48,15.75,17.25,10.10,16.67,47.8,1.4,3200
249,m,83.4,175,89,13.85,0.84,13.01,2.08,3.1,5.18,4.71,9.89,10.36,11.54,,11.24,30,0.82,
250,m,59.9,167.0,88,14.22,0.63,13.59,1.77,2.59,4.36,3.82,8.29,12.3,13.30,7.61,13.96,44.7,1.32,2730
251,m,66.8,177,90,13.98,0.81,13.17,1.83,2.64,4.47,3.72,8.19,10.15,11,7.81,13.59,43.9,0.91,2360
252,m,50.5,171,83,13.21,-0.6,13.81,1.8,2.51,4.31,3.64,7.95,8.74,10.25,7.955,13.42,49.59,1.5,2350
253,m,68.7,186,93,13.07,0.7,12.37,1.81,2.81,4.62,3.71,8.13,11.5,10.25,7.755,13.69,45.84,1.7,2350
254,m,58.5,169,86,12.86,-0.3,13.17,1.87,2.7,4.57,3.94,8.51,8.3,8.41,7.75,12.9,37.75,1.45,2550
255,m,66.2,182,89,13.88,0.6,13.27,1.76,2.45,4.21,3.5,7.71,13,12.92,,15.25,44.3,2.69,
256,m,74,183,91,15.23,1.63,13.6,1.7,2.4,4.1,3.55,7.65,,,,,,,
257,m,69,191.5,94.5,14.66,1.7,12.96,1.94,2.6,4.54,3.81,8.35,12.5,12.41,9.08,16.45,47.63,1.54,2790
258,m,57,172,87,13.02,-0.14,13.16,1.88,2.64,4.52,3.86,8.38,9.8,10.2,7.825,13.13,38.02,0.8,2450
259,m,62.5,171,89,12.95,0.13,12.82,1.79,2.62,4.41,3.81,8.22,10.7,11.15,6.855,12.46,35.53,1,2100
260,m,66,181,92,14.52,1.31,13.21,1.84,2.44,4.28,3.45,7.73,12.35,12.50,,14.35,47.11,1.56,2680
261,m,75.1,183,92,15.15,1.74,13.41,1.8,2.63,4.43,3.77,8.2,12.59,13.22,6.33,,33.9,1.67,
262,m,80.4,176,97,17.8,4.01,13.79,1.65,2.34,3.99,3.26,7.25,13.67,12.7,7.34,,,,
263,m,92.6,185,98,17.58,4.11,13.47,1.73,2.4,4.13,3.42,7.55,19.86,22.05,8.165,,,,
264,m,89.9,194.5,101,17.28,4.29,12.99,1.65,2.21,3.86,3.03,6.91,19.13,19.83,10.50,17.65,55.6,1.7,2800
265,m,95,188,98.5,17.95,4.39,13.55,1.67,2.37,4.04,3.35,7.39,20.21,23.1,7.37,,54.7,1.79,2400
266,m,67.9,178,92,14.81,1.49,13.31,1.69,2.45,4.14,3.49,7.63,14.39,13.9,7.35,,,,
267,m,73.4,183,98,15.61,2.77,12.84,1.85,2.44,4.29,3.43,7.72,13.52,14.50,8.06,14.39,49.7,1.79,2560
268,m,79.6,191.8,98,14.57,2.24,12.34,1.73,2.36,4.09,3.37,7.46,14.63,15.82,8.94,15.55,50.6,1.46,2840
269,m,52,161.0,83,14.31,-0.03,14.34,1.77,2.66,4.46,3.84,8.38,10.09,10.15,9.30,15,42.3,2.18,2550
270,m,55.4,174.5,90,14.04,0.7,13.34,1.78,2.5,4.32,3.53,7.89,10.85,11.93,8.69,15.05,41.5,1.76,3000
271,m,104.5,187.5,92,15.52,2.26,13.26,1.93,3.06,4.99,4.61,9.6,11.62,12.00,5.74,12.42,30.8,0.6,1960
272,m,72.5,178.2,95.5,16.1,2.72,13.39,,,4.22,3.52,7.74,17.5,17.6,7.495,,57.4,1.95,
273,m,92,184.8,94.1,16.19,2.77,13.42,,,3.94,3.3,7.24,17.86,19.36,8.21,,63.9,1.8,
274,m,77.8,184.1,99.8,15.6,3.06,12.54,,,4.29,3.5,7.79,15.1,17.74,7.705,,48.5,1.78,
275,m,84.2,195.5,99,18.29,4.47,13.82,1.68,2.53,4.21,3.67,7.88,17.41,17.14,9.53,17.5,60.2,2.11,2420
276,m,80,197,100,16.9,3.79,13.11,1.79,2.42,4.21,3.46,7.67,18.15,19,7.805,,54.8,1.84,2840
277,m,113.8,192,98,17.12,4.05,13.07,1.97,2.44,4.41,3.43,7.84,18.45,21.9,7.29,,60.88,1.75,2630
278,m,94.4,196,104,17.54,4.94,12.6,1.71,2.46,4.17,3.52,7.69,17.42,19.16,9.83,16.45,55.5,1.73,2780
279,m,86.3,190,101,16.72,3.95,12.77,1.62,2.31,3.93,3.31,7.24,16.45,17.25,9.68,17.1,60.8,2.04,
280,m,76.6,182.0,105,15.1,3.42,11.67,1.78,2.6,4.38,3.75,8.13,12.94,12.76,7.90,13.3,39.7,0.99,2650
281,m,71.5,183,95.5,15.61,2.41,13.2,1.7,2.35,4.05,3.3,7.35,14.95,15.2,7.33,,49.98,1.58,2760
282,m,82.7,190.0,100,14.67,2.59,12.08,1.89,2.75,4.64,3.96,8.6,12.01,12.76,7.70,13.13,38.4,1.02,2580
283,m,81.3,185.5,96,14.66,2.07,12.59,1.81,2.51,4.32,3.58,7.9,13.89,14.75,9.23,15.4,41.7,1.95,2450
284,m,67.1,189,97,14.51,1.93,12.58,1.77,2.58,4.35,3.74,8.09,11.9,12.21,9.40,14.61,40.8,1.7,2920
285,m,84.4,193.5,105,14.63,3.21,11.42,1.64,2.46,4.1,3.45,7.55,15.73,17.95,9.35,15.78,54.7,1.68,2020
286,m,83.3,185.5,99,15.23,2.8,12.43,1.64,2.37,4.01,3.32,7.33,15.13,17.88,9.98,15.91,40.8,1.79,2400
287,m,86.7,185,102,14.79,2.97,11.81,1.75,2.54,4.29,3.69,7.98,15.05,14.37,7.55,13.14,40.2,1.57,2020
288,m,56.8,171.0,89,14.16,0.66,13.49,1.72,2.73,4.45,4.01,8.46,10.65,11.50,,,38.3,1.14,
289,m,98.3,189,102,14.37,2.86,11.51,1.71,2.36,4.07,3.32,7.39,15.33,17.44,9.35,14.81,46.4,2.11,2380
290,m,65.6,179.8,93,15.29,1.84,13.45,,,4.09,3.44,7.53,13.45,15.65,7.225,,43.7,1.07,
291,m,77.6,179,94.5,16.29,2.74,13.55,,,,3.98,,13.9,15.23,,,,1.35,2560
292,m,107.3,180,98,15.08,2.91,12.17,,,4.26,3.62,7.88,14.7,,,13.84,,1.54,2250
293,m,96.9,185,94,15.2,2.29,12.91,,,4.37,3.75,8.12,14.4,,,12.75,,0.97,2090
294,m,64.9,180,90,15.42,1.49,13.93,1.79,2.47,4.28,3.58,7.86,13.4,14.9,9.27,16.56,48.2,1.58,2980
295,m,69.5,184.4,96.5,14.42,1.86,12.56,,,,,7.43,12.87,13.25,,,,1.4,2310
296,m,110.6,187.4,102.4,16.52,4.35,12.18,,,4.77,3.39,8.16,17.8,17.6,6.465,,45,1.58,
297,m,65.7,180,89,14.84,1.08,13.76,1.67,2.45,4.12,3.44,7.56,13.76,13.06,9.05,15.63,58.9,1.6,2930
298,m,79.9,194.5,98,15.64,2.82,12.82,1.75,2.52,4.27,3.66,7.93,,,,,,,2560
299,m,103.7,194.5,102.9,16.41,4.22,12.18,,,4.27,3.6,7.87,17.73,19.38,7.735,,50.4,1.7,2390
300,m,64.4,171,88,14.75,0.93,13.81,1.61,2.34,3.98,3.34,7.32,14.06,14.32,8.035,15.09,40.5,1.5,
301,m,78.8,186,96.5,16.41,3.06,13.35,1.54,2.26,3.81,3.16,6.99,15.21,17.43,8.92,15.37,49,1.43,2715
302,m,68.9,184,93.1,16.13,2.31,13.82,,,3.97,3.38,7.35,15.58,17.2,8.625,,53.7,2.13,
303,m,93,187,94,15.69,2.48,13.2,1.72,2.43,4.15,3.42,7.58,15.87,16.71,9.85,16.35,55,1.47,2710
304,m,86.5,187,100.5,15.34,3.1,12.24,1.67,2.36,4.03,3.29,7.32,16.6,18.18,9.51,17.4,59.6,2.01,2950
305,m,84.4,184.5,97.5,14.25,2.08,12.18,1.84,2.51,4.35,3.59,7.94,14.3,15.73,8.80,14.85,38.7,0.92,2430
306,m,86,191.0,96.5,14.29,1.97,12.32,1.94,2.77,4.74,4.03,8.77,13.13,16.32,8.87,15,41.1,1.05,2290
307,m,71.6,180,95,14.77,1.9,12.87,1.76,2.42,4.19,3.48,7.68,14.28,16.73,9.30,16.85,43.3,1.58,
308,m,64.45,184.5,95.2,15.41,2.17,13.25,,,3.99,3.25,7.24,11.38,11.38,8.54,,46.8,2.03,
309,m,84.4,192,102,18.11,4.88,13.23,1.69,2.23,3.92,3.06,6.98,18.16,17.72,9.77,17.26,55.5,1.65,2500
310,m,62.9,185,100,15.09,2.6,12.49,1.62,2.5,4.12,3.56,7.68,13.58,13.57,8.91,14.61,43.8,1.5,2770
311,m,81.5,190.0,96,14.96,2.22,12.75,1.91,2.89,4.8,4.17,8.97,12.38,12.41,7.49,13.6,29.9,0.65,2450
312,m,68.7,192,99,14.91,2.42,12.49,1.69,2.33,4.03,3.23,7.26,15.24,16.80,9.94,17.13,46.7,1.44,2750
313,m,85,193,100,16.73,3.78,12.95,1.74,2.52,4.26,3.45,7.71,15.9,16.41,9.31,15.45,45.3,1.35,2800
314,m,47.3,189,98,15.09,2.14,12.95,1.81,2.22,4.1,3.62,8.03,14.84,13.36,8.04,14.3,39.5,1.34,2700
315,m,75.7,185,99,15.34,2.77,12.57,1.68,2.46,4.14,3.44,7.58,12.43,14.07,8.06,15.28,44.1,0.86,2675
316,m,69.3,181,94,16.08,2.44,13.64,1.64,2.36,4,3.34,7.34,14.21,15.94,10.3,16.54,51.5,1.97,2950
317,m,70,177,93,15.99,2.28,13.71,1.77,2.36,4.13,3.42,7.56,13.93,15.07,,,45.9,1.16,2640
318,m,84,182,96,15.97,2.84,13.13,1.77,2.68,4.45,3.88,8.33,12.98,14.59,,,37.9,1.55,2500
319,m,69,180,95,15.68,2.36,13.32,1.71,2.51,4.22,3.57,7.79,10.24,11.55,,,40.1,1.45,2690
320,m,89,175,95,15.47,2.53,12.93,1.8,2.63,4.48,3.82,8.34,11.91,12.37,,,45.9,1.17,2180
321,m,72.1,191,98,15.71,2.78,12.93,1.56,2.43,3.99,3.39,7.4,13.1,14.3,10.05,15.17,51,1.75,2900
322,m,65.1,182,95,15.12,2,13.12,1.6,2.31,3.91,3.26,7.17,12.29,13.75,9.49,15.85,52.8,1.83,2680
