ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
22,f,45.7,164,81,13.16,1.06,12.09,1.96,2.85,4.83,4.31,9.14,8.95,8.74,6.32,12.68,27.2,0.87,
23,f,66,169,86.5,14.67,2.47,12.2,2.07,2.89,5.01,4.21,9.23,11.32,8.49,7.2,13.6,30.4,1.38,2420
23,f,68.5,170,87.5,15.73,3.11,12.62,2.2,2.91,5.12,4.22,9.37,10.24,12.35,7.435,12.76,31.5,1.7,2400
24,f,56.2,163,88,14.24,2.06,12.18,1.78,2.67,4.45,3.9,8.35,12.9,13.95,6.4,13.9,34.7,1.71,2440
24,f,57,164.5,89,15.23,2.69,12.54,1.86,2.51,4.37,3.69,8.06,13.25,13.18,8.62,15.2,39.1,1.86,2610
25,f,73.4,172,94,19.47,5.52,13.95,1.93,2.62,4.61,3.64,8.25,13.59,14.46,9.33,13.84,34.6,1.77,2350
25,f,70.3,172,91,18.48,4.82,13.66,1.92,2.7,4.62,3.74,8.36,13.7,13.57,7.71,12.94,32.8,1.61,2150
26,f,76,178,99,16.22,4.3,11.92,1.86,2.78,4.66,3.99,8.65,11.45,13.7,7.535,12.76,34.3,0.96,2320
26,f,69.3,176,96,15.22,3.51,11.71,1.91,3.04,4.99,4.55,9.54,7.26,8.77,7.1,12.08,30.4,1.04,2450
27,f,71.4,173,94,17.04,4.28,12.76,1.9,2.73,4.63,4.14,8.77,12.84,14.18,8.235,13.3,38.3,2,
27,f,69,173,94,16.04,3.74,12.3,2.01,2.74,4.75,4.17,8.93,13.81,13.46,,,38.2,2.06,2290
27,f,70.4,172.4,92.4,15.14,3.16,11.98,,,4.66,4.07,8.73,12.93,13.68,6.235,,32.5,1.68,2280
28,f,67.2,174.1,91,16.45,3.83,12.62,1.76,2.56,4.32,3.69,8.01,14.36,16.45,,,,1.46,2420
